year,round,event_name,country,event_date,circuit,driver_abbreviation,driver_number,constructor,grid_position,finish_position,points,dnf,status,q_position,q1_time,q2_time,q3_time,sprint_position,sprint_points
2014,1,Australian Grand Prix,Australia,2014-03-16 06:00:00,Australian Grand Prix,ROS,6,Mercedes,3.0,1.0,25.0,0,Finished,3.0,92.564,102.264,104.595,,0.0
2014,1,Australian Grand Prix,Australia,2014-03-16 06:00:00,Australian Grand Prix,MAG,20,McLaren,4.0,2.0,18.0,0,Finished,4.0,90.949,103.247,105.745,,0.0
2014,1,Australian Grand Prix,Australia,2014-03-16 06:00:00,Australian Grand Prix,BUT,22,McLaren,10.0,3.0,15.0,0,Finished,11.0,91.396,104.437,,,0.0
2014,1,Australian Grand Prix,Australia,2014-03-16 06:00:00,Australian Grand Prix,ALO,14,Ferrari,5.0,4.0,12.0,0,Finished,5.0,91.388,102.805,105.819,,0.0
2014,1,Australian Grand Prix,Australia,2014-03-16 06:00:00,Australian Grand Prix,BOT,77,Williams,15.0,5.0,10.0,0,Finished,10.0,91.601,103.852,108.147,,0.0
2014,1,Australian Grand Prix,Australia,2014-03-16 06:00:00,Australian Grand Prix,HUL,27,Force India,7.0,6.0,8.0,0,Finished,7.0,93.893,103.658,106.03,,0.0
2014,1,Australian Grand Prix,Australia,2014-03-16 06:00:00,Australian Grand Prix,RAI,7,Ferrari,11.0,7.0,6.0,0,Finished,12.0,92.439,104.494,,,0.0
2014,1,Australian Grand Prix,Australia,2014-03-16 06:00:00,Australian Grand Prix,VER,25,Toro Rosso,6.0,8.0,4.0,0,Finished,6.0,93.488,103.849,105.864,,0.0
2014,1,Australian Grand Prix,Australia,2014-03-16 06:00:00,Australian Grand Prix,KVY,26,Toro Rosso,8.0,9.0,2.0,0,Finished,8.0,93.777,104.331,107.368,,0.0
2014,1,Australian Grand Prix,Australia,2014-03-16 06:00:00,Australian Grand Prix,PER,11,Force India,16.0,10.0,1.0,0,Finished,16.0,94.141,107.293,,,0.0
2014,1,Australian Grand Prix,Australia,2014-03-16 06:00:00,Australian Grand Prix,SUT,99,Sauber,13.0,11.0,0.0,0,+1 Lap,14.0,93.673,105.655,,,0.0
2014,1,Australian Grand Prix,Australia,2014-03-16 06:00:00,Australian Grand Prix,GUT,21,Sauber,20.0,12.0,0.0,0,+1 Lap,19.0,95.117,,,,0.0
2014,1,Australian Grand Prix,Australia,2014-03-16 06:00:00,Australian Grand Prix,CHI,4,Marussia,17.0,13.0,0.0,0,+2 Laps,17.0,94.293,,,,0.0
2014,1,Australian Grand Prix,Australia,2014-03-16 06:00:00,Australian Grand Prix,BIA,17,Marussia,18.0,14.0,0.0,0,+8 Laps,18.0,94.794,,,,0.0
2014,1,Australian Grand Prix,Australia,2014-03-16 06:00:00,Australian Grand Prix,GRO,8,Lotus F1,22.0,15.0,0.0,1,ERS,21.0,96.993,,,,0.0
