year,circuit,event_date,openmeteo_temp_mean,openmeteo_temp_max,openmeteo_temp_min,openmeteo_humidity,openmeteo_precip_mm,openmeteo_wind_speed,openmeteo_wind_dir,openmeteo_pressure,openmeteo_rain_flag
2014,Abu Dhabi Grand Prix,2014-11-23 13:00:00,18.4,22.9,12.5,73.0,0.0,26.2,246.5,1017.1,0
2014,Australian Grand Prix,2014-03-16 06:00:00,9.0,11.4,5.4,47.3,0.0,10.9,265.7,1029.7,0
2014,Austrian Grand Prix,2014-06-22 12:00:00,22.9,30.0,18.0,47.2,0.0,29.5,220.0,1018.2,0
2014,Bahrain Grand Prix,2014-04-06 15:00:00,19.4,25.2,17.1,76.2,0.0,8.8,156.1,1003.2,0
2014,Belgian Grand Prix,2014-08-24 12:00:00,24.2,31.6,18.4,10.0,0.0,9.1,180.7,995.3,0
2014,Brazilian Grand Prix,2014-11-09 16:00:00,19.8,23.3,15.9,60.1,0.0,21.3,354.8,1010.6,0
2014,British Grand Prix,2014-07-06 12:00:00,42.7,46.8,39.5,62.4,1.1,20.9,150.1,1035.4,1
2014,Canadian Grand Prix,2014-06-08 18:00:00,31.4,37.1,26.7,61.7,0.0,20.2,303.2,1030.5,0
2014,Chinese Grand Prix,2014-04-20 07:00:00,26.9,29.4,21.3,51.4,0.0,16.2,225.8,999.7,0
2014,German Grand Prix,2014-07-20 12:00:00,34.9,41.0,30.7,92.9,0.1,6.5,140.0,1024.6,0
2014,Hungarian Grand Prix,2014-07-27 12:00:00,23.2,31.1,19.8,52.7,0.0,25.1,274.5,1005.1,0
2014,Italian Grand Prix,2014-09-07 12:00:00,37.6,42.7,33.0,69.5,0.3,8.9,38.1,1000.9,0
2014,Japanese Grand Prix,2014-10-05 06:00:00,23.3,30.4,19.7,40.5,0.0,15.3,114.0,1024.8,0
2014,Malaysian Grand Prix,2014-03-30 08:00:00,18.7,24.1,14.6,46.6,0.0,18.5,1.0,993.2,0
